"id","created_at","created_by","title","description","requirements","job_desc"
"684e7305-1805-4e8e-b28e-6e1bb2f1f5ea",2025-05-10 22:59:18.795,"67014c16-7437-4247-baa5-8c978e68420c",Senior Frontend Engineer,Join our innovative team to build cutting-edge user interfaces for our flagship product. We are looking for a passionate developer with a strong eye for design and performance.,"5+ years of experience in frontend development. Proficiency in React, Redux/Zustand, Next.js, TypeScript, HTML5, CSS3. Experience with RESTful APIs and GraphQL. Strong understanding of web performance optimization. Excellent problem-solving and communication skills.","Develop and maintain responsive web applications using React, Next.js, and TypeScript. Collaborate with product managers, designers, and backend engineers. Write clean, testable, and maintainable code. Mentor junior developers and contribute to code reviews."
"650e566d-0880-49d8-99d3-6dcfb12555c1",2025-05-10 22:59:18.897,"67014c16-7437-4247-baa5-8c978e68420c",Lead Backend Developer (Node.js/Python),"Lead the design and development of our scalable backend systems. You will be responsible for building robust APIs, managing databases, and ensuring the reliability of our platform.","7+ years of backend development experience. Expertise in Node.js or Python. Strong experience with microservices architecture, RESTful APIs, and message queues (e.g., RabbitMQ, Kafka). Proficient with PostgreSQL or similar relational databases. Experience with Docker, Kubernetes, and cloud platforms (AWS/GCP/Azure).",Architect and implement microservices using Node.js/Express or Python/FastAPI. Design and optimize database schemas (PostgreSQL). Develop and maintain CI/CD pipelines. Ensure system security and data protection. Lead and mentor a team of backend developers.
a4137504-4272-4511-b9e6-ceb879d51cc3,2025-05-10 22:59:19.017,"67014c16-7437-4247-baa5-8c978e68420c",Product Manager - AI Solutions,"Define and drive the product strategy for our AI-powered solutions. Work closely with engineering, design, and marketing to deliver impactful products that solve real-world problems.","5+ years of product management experience, preferably in AI/ML or SaaS. Strong analytical and problem-solving skills. Excellent communication and leadership abilities. Proven track record of launching successful products. Technical background or understanding of AI/ML concepts is a plus.","Conduct market research and gather customer requirements. Define product vision, strategy, and roadmap. Write detailed product specifications and user stories. Collaborate with cross-functional teams throughout the product lifecycle. Analyze product performance and iterate based on data and feedback."
b678e67c-934d-475e-ba57-44873f271fbd,2025-05-10 22:59:19.107,"67014c16-7437-4247-baa5-8c978e68420c",DevOps Engineer,"Build and maintain our cloud infrastructure, CI/CD pipelines, and monitoring systems. Ensure the reliability, scalability, and security of our platform.","4+ years of DevOps experience. Strong experience with AWS or GCP. Proficiency in infrastructure-as-code tools (e.g., Terraform, CloudFormation). Experience with containerization (Docker, Kubernetes). Scripting skills in Python, Bash, or Go.","Design, implement, and manage cloud infrastructure on AWS/GCP. Develop and automate CI/CD pipelines using Jenkins, GitLab CI, or similar tools. Implement and manage monitoring, logging, and alerting systems (e.g., Prometheus, Grafana, ELK stack). Ensure infrastructure security and compliance."
f89ec9b5-a505-4d6c-a86d-934581ae7eb9,2025-05-10 22:59:19.217,"67014c16-7437-4247-baa5-8c978e68420c",UX/UI Designer,Create intuitive and visually appealing user experiences for our web and mobile applications. Collaborate with product managers and engineers to translate ideas into user-centered designs.,"3+ years of UX/UI design experience. Proficiency in design tools like Figma, Sketch, or Adobe XD. Strong portfolio showcasing user-centered design solutions. Excellent visual design skills and attention to detail. Experience with mobile and web application design.","Conduct user research and usability testing. Create wireframes, mockups, and prototypes. Develop and maintain design systems and style guides. Collaborate with frontend developers to ensure design consistency and quality. Stay up-to-date with aui/UX trends and best practices."
"990a2fd9-b060-4e3f-8c5a-e2b4c5832e45",2025-05-10 22:59:19.307,"67014c16-7437-4247-baa5-8c978e68420c",Data Scientist,"Develop and deploy machine learning models to solve complex business problems. Analyze large datasets, extract insights, and contribute to data-driven decision-making.","4+ years of experience in data science or machine learning. Proficiency in Python and relevant libraries (e.g., scikit-learn, TensorFlow, PyTorch). Strong understanding of statistical modeling and machine learning algorithms. Experience with data visualization tools. PhD or Master's degree in a quantitative field is preferred.","Clean, process, and analyze large datasets. Develop, train, and evaluate machine learning models. Deploy models to production and monitor their performance. Collaborate with engineers to integrate models into our products. Communicate findings and insights to stakeholders."
"6e9515c7-60e2-4c2e-8bea-6ed43cf0b6f3",2025-05-10 22:59:19.447,"67014c16-7437-4247-baa5-8c978e68420c",Marketing Manager - Growth Hacking,"Drive user acquisition and growth through innovative marketing strategies and experiments. Analyze data, identify growth opportunities, and optimize marketing campaigns.","5+ years of marketing experience with a focus on growth. Proven track record of driving user acquisition. Strong analytical skills and data-driven mindset. Experience with marketing automation tools and analytics platforms. Excellent communication and project management skills.","Develop and execute growth hacking strategies. Manage digital marketing channels (SEO, SEM, social media, email). Conduct A/B tests and analyze campaign performance. Identify and leverage new growth channels. Collaborate with product and sales teams."
a3f3b975-a2ae-4cd0-9dc2-f843bfd8a6b6,2025-05-10 22:59:19.557,"67014c16-7437-4247-baa5-8c978e68420c",Customer Success Manager,"Ensure our customers achieve their desired outcomes while using our products. Build strong relationships, provide support, and drive customer retention and expansion.","3+ years of experience in customer success or account management, preferably in SaaS. Excellent communication and interpersonal skills. Strong problem-solving abilities. Empathetic and customer-focused mindset. Experience with CRM software.",Onboard new customers and provide training. Proactively engage with customers to understand their needs and challenges. Provide technical support and resolve issues. Identify opportunities for upselling and cross-selling. Gather customer feedback and advocate for their needs internally.
f42a6aee-927d-44c5-a85c-6266ca23502c,2025-05-10 22:59:19.657,"67014c16-7437-4247-baa5-8c978e68420c",Junior Software Engineer (Full-Stack),An exciting opportunity for a recent graduate or early-career engineer to contribute to both frontend and backend development in a fast-paced startup environment.,"Bachelor's degree in Computer Science or related field (or equivalent practical experience). Solid understanding of web development fundamentals. Familiarity with at least one frontend framework (e.g., React, Angular, Vue) and one backend language (e.g., Node.js, Python, Java). Eagerness to learn and contribute.","Assist in the development of new features and maintenance of existing codebase. Work with technologies like React, Node.js, Python, and PostgreSQL. Participate in code reviews and agile development processes. Learn from senior engineers and grow your skills."
"898eba76-01ab-4f6f-b36c-0740f20b9412",2025-05-10 22:59:19.755,"67014c16-7437-4247-baa5-8c978e68420c",Technical Content Writer,"Create compelling and informative technical content, including blog posts, documentation, tutorials, and case studies, to engage our developer community and showcase our technology.","2+ years of experience in technical writing or content creation for a tech audience. Excellent writing, editing, and proofreading skills. Ability to understand and explain complex technical topics clearly. Familiarity with software development concepts and terminology. Portfolio of writing samples.",Research and write high-quality technical articles and documentation. Collaborate with engineers and product managers to understand complex technical concepts. Simplify technical information for various audiences. Manage and update our technical content library. Promote content through various channels.
